Accident	an unexpected event or circumstance without deliberate intent.
Group Annuities – Deferred Non- Variable and Variable	an annuity contract that provides an accumulation based on both (1) funds that accumulate based on a guaranteed crediting interest rates or additional interest rate applied to designated considerations, and (2) funds where the accumulation vary in accordance with the rate of return of the underlying investment portfolio selected by the policyholder. The contract provides for the initiation of payments at some designated future date.
Group Annuities – Deferred Variable	an annuity contract that provides an accumulation based fund where the accumulation varies in accordance with the rate of return of the underlying investment portfolio selected by the policyholder. Must include at least one option to have the accumulation vary in accordance with the rate of return of the underlying investment portfolio selected by the policyholder and may include at least one option to have the series of payments vary in accordance with the rate of return of the underlying investment portfolio selected by the policyholder. This annuity contract provides for the initiation of payments at some designated future date.
Group Annuities – Immediate Non-Variable and Variable	an annuity contract that provides an accumulation based on both (1) funds that accumulate based on a guaranteed crediting interest rates or additional interest rate applied to designated considerations, and (2) funds where the accumulation vary in accordance with the rate of return of the underlying investment portfolio selected by the policyholder. The contract provides for the initiation of payments at some interval that may vary, however the annuity payouts must begin within 13 months.
Group Annuities – Immediate Variable	an annuity contract that provides for the first payment of the annuity at the end of the fixed interval of payment after purchase. The interval may vary, however the annuity payouts must begin within 13 months. The amount varies with the value of equities (separate account) purchased as investments by the insurance companies.
Group Annuities – Unallocated	annuity contracts or portions thereof where the Insurer purchases an annuity for the retirees.
Group Annuity	a contract providing income for a specified period of time, or duration of life for a person or persons established to benefit a group of employees.
Group Health	health insurance issued to employers, associations, trusts, or other groups covering employees or members and/or their dependents, to whom a certificate of coverage may be provided.
Group Code	a unique three to five digit number assigned by the NAIC to identify those companies that are part of a larger group of insurance companies.
Group Credit – Life	contracts sold in connection with loan/credit transactions or other credit transactions, which do not exceed a stated duration and/or amount and provide insurance protection against death.
Group Health Organizations – Health Maintenance (HMO)	a plan under which an enrollee pays a membership fixed fee in advance in return for a wide range of comprehensive health care services with the HMO's approved providers in a designated service area.
Guaranty Fund	funding mechanism employed by states to provide funds to cover policyholder obligations of insolvent reporting entities.
Hard Market	a market characterized by high demand and low supply.
Hazard	circumstance which tends to increase the probability or severity of a loss.
Health – Excess/Stop Loss	this type of insurance may be extended to either a health plan or a self-insured employer plan. Its purpose is to insure against the risk that any one claim will exceed a specific dollar amount or that an entire plan's losses will exceed a specific amount.
Health Insurance	a generic term applying to all types of insurance indemnifying or reimbursing for losses caused by bodily injury or illness including related medical expenses.
Health Maintenance Organization (HMO)	a medical group plan that provides physician, hospital, and clinical services to participating members in exchange for a periodic flat fee.
Health Plan	written promise of coverage given to an individual, family, or group of covered individuals, where a beneficiary is entitled to receive a defined set of health care benefits in exchange for a defined consideration, such as a premium.
Hold-Harmless Agreement	A risk transfer mechanism whereby one party assumes the liability of another party by contract
Homeowners Insurance	a package policy combining real and personal property coverage with personal liability coverage. Coverage applicable to the dwelling, appurtenant structures, unscheduled personal property and additional living expense are typical. Includes mobile homes at a fixed location.
Hospital Indemnity Coverage	coverage that provides a pre-determined, fixed benefit or daily indemnity for contingencies based on a stay at a hospital or intensive care facility.
Hull Insurance	coverage for damage to a vessel or aircraft and affixed items.
Incontestability Provision	a life insurance and annuity provision limiting the time within which the insurer has the legal right to void the contract on grounds of material misrepresentation in the policy application.
Incurred But Not Reported (IBNR)	(Pure IBNR) claims that have occurred but the insurer has not been notified of them at the reporting date. Estimates are established to book these claims. May include losses that have been reported to the reporting entity but have not yet been entered into the claims system or bulk provisions. Bulk provisions are reserves included with other IBNR reserves to reflect deficiencies in known case reserves. IBNR can sometimes include estimates of incurred but Not Enough Reported (IBNER)
Incurred Claims	paid claims plus amounts held in reserve for those that have been incurred but not yet paid.
Incurred Losses	sustained losses, paid or not, during a specified time period. Incurred losses are typically found by combining losses paid during the period plus unpaid losses sustained during the time period minus outstanding losses at the beginning of the period incurred in the previous period.
Indemnity, Principle of	a general legal principle related to insurance that holds that the individual recovering under an insurance policy should be restored to the approximate financial position he or she was in prior to the loss. Legal principle limiting compensation for damages be equivalent to the losses incurred.
Independent Adjuster	freelance contractor paid a fee for adjusting losses on behalf of companies.
Independent Agent	a representative of multiple insurance companies who sells and services policies for records which they own and operate under the American Agency System.
Independent Contractor	an individual who is not employed for a company but instead works for themselves providing goods or services to clients for a fee.
Index Annuity	an interest bearing fixed annuity tied to an equity index, such as the Dow Jones Industrial Average or S & P 500.
Individual Annuities – Deferred Variable	an annuity contract that provides an accumulation based fund where the accumulation varies in accordance with the rate of return of the underlying investment portfolio selected by the policyholder. Must include at least one option to have the accumulation vary in accordance with the rate of return of the underlying investment portfolio selected by the policyholder and may include at least one option to have the series of payments vary in accordance with the rate of return of the underlying investment portfolio selected by the policyholder. This annuity contract provides for the initiation of payments at some designated future date.
Individual Annuities – Immediate Variable	an annuity contract that provides for the first payment of the annuity at the end of the fixed interval of payment after purchase. The interval may vary, however the annuity payouts must begin within 13 months. The amount varies with the value of equities (separate account) purchased as investments by the insurance companies.
Individual Annuities – Special	contracts with certain noteworthy attributes.
Individual Annuities- Deferred Non-Variable and Variable	an annuity contract that provides an accumulation based on both (1) funds that accumulate based on a guaranteed crediting interest rates or additional interest rate applied to designated considerations, and (2) funds where the accumulation vary in accordance with the rate of return of the underlying investment portfolio selected by the policyholder. The contract provides for the initiation of payments at some designated future date.
Individual Annuities- Deferred Non-Variable	an annuity contract that provides an accumulation based on funds that accumulate based on a guaranteed crediting interest rate or additional interest rate. This annuity contract provides for the initiation of payments at some designated future date.
Individual Annuities- Immediate Non-Variable	an annuity contract that provides for the fixed payment of the annuity at the end of the first interval of payment after purchase. The interval may vary, however the annuity payouts must begin within 13 months.
Individual Annuities- Immediate Non-Variable and Variable	an annuity contract that provides an accumulation based on both (1) funds that accumulate based on a guaranteed crediting interest rates or additional interest rate applied to designated considerations, and (2) funds where the accumulation vary in accordance with the rate of return of the underlying investment portfolio selected by the policyholder. The contract provides for the initiation of payments at some interval that may vary, however the annuity payouts must begin within 13 months.
Individual Health	health insurance where the policy is issued to an individual covering the individual and/or their dependents in the individual market. This includes conversions from group policies.
Individual Credit – Credit Disability	makes monthly loan/credit transaction payments to the creditor upon the disablement of an insured debtor.
Individual Credit – Life	contracts sold in connection with loan/credit transactions or other credit transactions, which do not exceed a stated duration and/or amount and provide insurance protection against death.
Industrial Life	Industrial life insurance, also called "debit" insurance, is insurance under which premiums are paid monthly or more often, the face amount of the policy does not exceed a stated amount, and the words "industrial policy" are printed in prominent type on the face of the policy.
Inland Marine	coverage for property that may be in transit, held by a bailee, at a fixed location, a movable good that is often at different locations (e.g., off road constructions equipment), or scheduled property (e.g., Homeowners Personal Property Floater) including items such as live animals, property with antique or collector's value, etc. This line also includes instrumentalities of transportation and communication, such as bridges, tunnels, piers, wharves, docks, pipelines, power and phone lines, and radio and television towers.
Insurable Interest	A right or relationship in regard to the subject matter of the insured contract such that the insured can suffer a financial loss from damage, loss or destruction to it. (Bickelhaupt and Magee )
Insurance	an economic device transferring risk from an individual to a company and reducing the uncertainty of risk via pooling.
Insurance Holding Company System	consists of two or more affiliated persons, one or more of which is an insurer.
Insurance Regulatory Information System (IRIS)	a baseline solvency screening system for the National Association of Insurance Commissioners (NAIC) and state insurance regulators established in the mid-1970s.
Insurance to Value	Amount of insurance purchased vs. the actual replacement cost of the insured property expressed as a ratio.
Insured	party(ies) covered by an insurance policy.
Insurer	an insurer or reinsurer authorized to write property and/or casualty insurance under the laws of any state.
Intermediary	a person, corporation or other business entity (not licensed as a medical provider) that arranges, by contracts with physicians and other licensed medical providers, to deliver health services for a health insurer and its enrollees via a separate contract between the intermediary and the insurer.
International	includes all business transacted outside the U.S. and its territories and possessions where the appropriate line of business is not determinable.
Internet Liability Insurance/Cyber Insurance	coverage for cyber commerce including copyright infringement, libel, and violation of privacy.
Investment grade	the obligation has been determined to be in one of the top four generic lettered rating classifications by a securities rating agency acceptable to the commissioner, that the obligation has been identified in writing by such a rating agency to be of investment grade quality, or, if the obligation has not been submitted to any such rating agency, that the obligation has been determined to be investment grade (Class 1 and Class 2) by the Securities Valuation Office of the National Association of Insurance Commissioners.
Investment Income Accrued	investment income earned as of the reporting date but not legally due to be paid to the reporting entity until subsequent to the reporting date.
Investment Income Due	investment income earned and legally due to be paid to the reporting entity as of the reporting date.
Investment Income Gross	shall be recorded as earned and shall include investment income collected during the period, the change in investment income due and accrued, the change in unearned investment income plus any amortization (e.g., discounts or premiums on bonds, origination fees on mortgage loans, etc.)
Irrevocable Beneficiary	a life insurance policy beneficiary who has a vested interest in the policy proceeds even during the insured's lifetime because the policy owner has the right to change the beneficiary designation only after obtaining the beneficiary's consent.
Joint and Last Survivor Annuity	retirement plan that continues to payout so long as at least one, of two or more, annuitants is alive.
Joint Underwriting Association (JUA)	a loss-sharing mechanism combining several insurance companies to provide extra capacity due to type or size of exposure.
Joint-Life Annuity	an annuity contract that ceases upon the death of the first of two or more annuitants.
Key-Persons Insurance	a policy purchased by, for the benefit of, a business insuring the life or lives of personnel integral to the business operations.
Kidnap/Ransom Insurance	coverage for ransom or extortion costs and related expenses.
Lapse	termination of a policy due to failure to pay the required renewal premium.
Level Premium Insurance	life insurance policy for which the cost is equally distributed over the term of the premium period, remaining constant throughout.
Liability	a certain or probable future sacrifice of economic benefits arising from present obligations of a particular entity to transfer assets or to provide services to other entities in the future as a result of a past transactions(s) or event(s). three essential characteristics: a)    It embodies a present duty or responsibility to one or more other entities that entails settlement by probable future transfer or use of assets at a specified or determinable date, on occurrence of a specified event, or on demand; b)    The duty or responsibility obligates a particular entity, leaving it little or no discretion to avoid the future sacrifice; and c)    The transaction or other event obligating the entity has already happened.
Life – Endowment	insurance that pays the same benefit amount should the insured die during the term of the contract, or if the insured survives to the end of the specified coverage term or age.
Life – Flexible Premium Adjustable Life	a group life insurance that provides a face amount that is adjustable to the certificate holder and allows the certificate holder to vary the modal premium that is paid or to skip a payment so long as the certificate value is sufficient to keep the certificate in force, and under which separately identified interest credits (other than in connection with dividend accumulation, premium deposit funds or other supplementary accounts) and mortality and expense charges are made to individual certificates while providing minimum guaranteed values.
Life Settlements	a contract or agreement in which a policyholder agrees to sell or transfer ownership in all or part of a life insurance policy to a third party for compensation that is less than the expected death benefit of a policy.
Lifetime Disability Benefit	a provision in some disability income policies to recoup lost wages for the term of disability or remainder of insured's life in case of permanent disability.
Limited Benefit	policies that provide coverage for vision, prescription drug, and/or any other single service plan or program. Also include short-term care policies that provide coverage for less than one year for medical and other services provided in a setting other than an acute care unit of the hospital.
Limited Payment Life Insurance	a form of whole-life insurance with a pre-defined number of premiums to be paid.
Limited Policies	health insurance coverage for a certain ailment, such as cancer.
Limits	maximum value to be derived from a policy.
Line of Business	classification of business written by insurers.
Liquor Liability	coverage for the liability of an entity involved in the retail or wholesale sales of alcoholic beverages, or the serving of alcoholic beverages, to persons who have incurred bodily injury or property damage arising from an intoxicated person.
Living benefits rider	a rider attached to a life insurance policy providing long term care for the terminally ill.
Lloyd's of London	association offering membership in various syndicates of wealthy individuals organized for the purpose of writing insurance for a particular hazard.
Loan-backed Securities	pass-through certificates, collateralized mortgage obligations (CMOs), and other securitized loans not included in structured securities where payment of interest and/or principal is directly proportional to the interest and/or principal received by the issuer from the mortgage pool or other underlying securities.
Long Duration Contracts	contracts, excluding financial guaranty contracts, mortgage guaranty contracts and surety contracts, that fulfill both of the following conditions: (1) the contract term is greater than or equal to thirteen months and (2) the insurer can neither cancel nor increase the premium during the contract term.
Long-Term Care	policies that provide coverage for not less than one year for diagnostic, preventive, therapeutic, rehabilitative, maintenance, or personal care services provided in a setting other than an acute care unit of a hospital, including policies that provide benefits for cognitive impairment or loss of functional capacity. This includes policies providing only nursing home care, home health care, community based care, or any combination. The policy does not include coverage provided under comprehensive/major medical policies, Medicare Advantage, or for accelerated heath benefit-type products.
Long-Term Disability Income Insurance	policy providing monthly income payments for insureds who become disabled for an extensive length of time, typically two years or longer.
Loss	physical damage to property or bodily injury, Including loss of use or loss of income
Loss Adjustment Expense (LAE)	expected payments for costs to be incurred in connection with the adjustment and recording of losses. Can be classified into two broad categories: Defense and Cost Containment (DCC) and Adjusting and Other (AO). Can also be separated into (Allocated Loss Adjustment Expense) and (Unallocated Loss Adjustment Expense for ratemaking purposes.
Loss Frequency	incidence of claims on a policy during a premium period.
Loss of Use Insurance	policy providing protection against loss of use due to damage or destruction of property.
Loss Payable Clause	coverage for third party mortgagee in case of default on insured property, secured by a loan, that has been lost or damaged.
Loss Ratio	the percentage of incurred losses to earned premiums.
Loss Reserve	the amount that insurers set aside to cover claims incurred but not yet paid.
Loss Reserves	an estimate of liability or provision in an insurer's financial statement, indicating the amount the insurer expects to pay for losses incurred but not yet reported or reported claims that haven't been paid.
Losses Incurred	Includes claims that have been paid and/or have amounts held in reserve for future payment
Losses Incurred But Not Reported (IBNR)	An estimated amount set aside by the insurance company to pay claims that may have occurred, but for some reason have not yet been reported to the insurance company.
Major Medical	a hospital/surgical/medical expense contract that provides comprehensive benefits as defined in the state in which the contract will be delivered.
Malpractice	alleged misconduct or negligence in a professional act resulting in loss or injury.
Managed Care	system of health care delivery that attempts to influence the utilization, quality, and cost of services provided.
Mandated benefits	insurance required by state or federal law.
Manufacturers Output Policies	provides broad form coverage of personal property of an insured manufacturer including raw material, goods in process, finished goods and goods shipped to customers.
Margin Premium	a deposit that an organization is required to maintain with a broker with respect to the Futures Contracts purchased or sold.
Market Value	fair value or the price that could be derived from current sale of an asset.
Mechanical Breakdown Insurance	premiums attributable to policies covering repair or replacement service, or indemnification for that service, for the operational or structural failure of property due to defects in materials or workmanship, or normal wear and tear. (May cover motor vehicles, mobile equipment, boats, appliances, electronics, residual structures, etc.)
Medicaid	policies issued in association with the Federal/State entitlement program created by Title XIX of the Social Security Act of 1965 that pays for medical assistance for certain individuals and families with low incomes and resources.
Medical & Hospital Expenses (Benefits or Claims)	total expenditures for health care services paid to or on behalf of members.
Medical Malpractice	insurance coverage protecting a licensed health care provider or health care facility against legal liability resulting from the death or injury of any person due to the insured's misconduct, negligence, or incompetence, in rendering or failure to render professional services.
Medical Only	line of business that provides medical only benefits without hospital coverage. An example would be provider-sponsored organizations where there is no coverage for other than provider (non-hospital) services. Does not include self-insured business, FEHBP, Medicare and Medicaid programs, or dental only business.
Medical Professional Liability	insurance coverage protecting a licensed health care provider or health care facility against legal liability resulting from the death or injury of any person due to the insured's misconduct, negligence, or incompetence in rendering professional services. Medical Professional Liability is also known as Medical Malpractice.
Medicare	a state assistance program, passed under Title XVIII of the Social Security Amendments of 1965, to provide hospital and medical expense insurance to those over 65 years of age.
Medicare + Choice	a major initiative in the Balanced Budget Act of 1997 (also called Medicare Part C), under which Medicare beneficiaries may select from among several managed care options or a Medicare system.
Medicare Advantage Plan	an HMO, PPO, or Private Fee-For Service Plan that contracts with Medicare Advantage Prescription Drug Plan also includes drug benefits. The plan may provide extra coverage such as vision, hearing, dental, and/or health and wellness programs. Medicare pays a fixed amount for insured's care every month to the companies offering Medicare Advantage plans.
Medicare Cost	contract with Center for Medicare and Medicaid Services (CMS) for Medicare coverage. These contracts with CMS provide reimbursement through pre-determined monthly amount per member based on a total estimated budget. The beneficiary may use providers outside the provider network. Does not include stand alone Medicare Part D Plans.
Medicare Part D	Stand-Alone	stand-alone Part D coverage written through individual contracts; stand-alone Part D coverage written through group contracts and certificates; and Part D coverage written on employer groups where the reporting entity is responsible for reporting claims to the Centers for Medicare & Medicaid Services (CMS).
Medicare Supplement	Insurance coverage sold on an individual or group basis to help fill the "gaps" in the protections granted by the federal Medicare program. This is strictly supplemental coverage and cannot duplicate any benefits provided by Medicare. It is structured to pay part or all of Medicare's deductibles and co-payments. It may also cover some services and expenses not covered by Medicare. Also known as Medigap" insurance.
Medigap	supplementary private health insurance products to Medicare insurance benefits.
Minimum Premium Plan	an arrangement under which an insurance carrier will, for a fee, handle the administration of claims and insure against large claims for a self-insured group. The employer self-funds a fixed percentage (e.g. 90%) of the estimated monthly claims, and the insurer covers the remainder.
Mobile Homes	Homeowners	homeowners insurance sold to owners occupying the described mobile home.
Mobile Homes under Transport	coverage for mobile homes while under transport for personal or commercial use.
Modified Guaranteed	an annuity that contains a provision that adjusts the value of withdrawn funds based on a formula in the contract. The formula reflects market value adjustments.
Member	A person who has enrolled as a subscriber or an eligible dependent of a subscriber and for whom the health organization has accepted the responsibility for the provision of health services as may be contracted for.
Moral Hazard	personality characteristics that increase probability of losses. For example not taking proper care to protect insured property because the insured knows the insurance company will replace it if it is damaged or stolen.
Morale Hazard	negligence or disregard on the part of the insured which could lead to probable loss.
Morbidity	the frequency or severity of disease or illness within a subset of the population.
Morbidity Risk	the potential for a person to experience illness, injury, or other physical or psychological impairment, whether temporary or permanent. Morbidity risk excludes the potential for an individual's death, but includes the potential for an illness or injury that results in death.
Morbidity Table	a statistical record of the rate of illness among the defined age groups.
Mortality Table	chart that shows the death rates of a particular population at each age displayed as the number of deaths per thousand.
Mortgage	a note used to secure a loan for real property.
Mortgage Guaranty	insurance that indemnifies a lender for loss upon foreclosure if a borrower fails to meet required mortgage payments.
Mortgage Insurance	a form of life insurance coverage payable to a third party lender/mortgagee upon the death of the insured/mortgagor for loss of loan payments.
Mortgage-Backed Securities	a type of asset-backed security that is secured by a mortgage or collection of mortgages. These securities must also be grouped in one of the top two ratings as determined by an accredited credit rating agency, and usually pay periodic payments that are similar to coupon payments. Furthermore, the mortgage must have originated from a regulated and authorized financial institution.
Multi-Peril Insurance	personal and business property coverage combining several types of property insurance in one policy.
Municipal Bond Guarantee Insurance	coverage sold to municipalities to guarantee the principle payment on bonds issued.
Municipal Liability	liability coverage for the acts of a municipality.
Municipal obligation bond	any security, or other instrument, including a state lease but not a lease of any other governmental entity, under which a payment obligation is created, issued by or on behalf of a governmental unit to finance a project servicing a substantial public purpose, and 1) Payable from tax revenues, but not tax allocations, within the jurisdiction of such governmental unit; 2) Payable or guaranteed by the United States of America or any agency, department or instrumentality thereof, or by a state housing agency; 3) Payable from rates or charges (but not tolls) levied or collected in respect of a non-nuclear utility project, public transportation facility (other than an airport facility) or public higher education facility; or 4) With respect to lease obligations, payable from future appropriations.
Mutual Insurance Company	a privately held insurer owned by its policyholders, operated as a non-profit that may or may not be incorporated.
Mutual Insurance Holding Company	a company organized as a mutual and owning a capital stock insurer or insurers for the benefit of pooling risk for many people, typically those in the same industry.
Named Insured	the individual defined as the insured in the policy contract. .
Named Peril Coverage	insurance for losses explicitly defined in the policy contract.
National Association of Insurance Commissioners (NAIC)	the U.S. standard-setting and regulatory support organization created and governed by the chief insurance regulators from the 50 states, the District of Columbia and five U.S. territories. Through the NAIC, state insurance regulators establish standards and best practices, conduct peer review, and coordinate their regulatory oversight. NAIC staff supports these efforts and represents the collective views of state regulators domestically and internationally. NAIC members, together with the central resources of the NAIC, form the national system of state-based insurance regulation in the U.S.
Negligence	failure to exercise reasonable consideration resulting in loss or damage to oneself or others.
Net Admitted Assets	total of assets whose values are permitted by state law to be included in the annual statement of the insurer.
Net Income	total revenues from an insurer's operations less total expenses and income taxes
Net Premiums Earned	premiums on property/casualty or health policies that will not have to be returned to the policyholder if the policy is cancelled.
NFIP	National Flood Insurance Program	flood insurance and floodplain management for personal and business property administered under the National Flood Act of 1968. Encourages participation by private insurers through a flood insurance pool .
Nonadmitted Assets	assets having economic value other than those which can be used to fulfill policyholder obligations, or those assets which are unavailable due to encumbrances or other third party interests and should not be recognized on the balance sheet.
Nonadmitted Insurer	insurance company not licensed to do business within a given state.
Non-controlled stock insurers	insurers in which a parent company has: 1) a financial interest represented by the direct or indirect ownership of less than 50% of voting shares, and 2) does not have the ability to exercise control over the insurer, e.g., through voting stock or management contract
Non-proportional Reinsurance	reinsurance that is not secured on individual lives for specific individual amount of reinsurance, but rather reinsurance that protects the ceding company's overall experience on its entire portfolio of business, or at least a broad segment of it. The most common forms of non-proportional reinsurance are stop loss and catastrophe.
Notional Value	the principal value upon which future payments are based in a derivative transaction as at a specific period in time (the "as of" reporting date) in the reporting currency.
Nationally Recognized Statistical Rating Organization (NRSRO)	refers to rating organizations so designated by the SEC whose status has been confirmed by the Securities Valuation Office. Examples are: Moody's Investors Service, Inc., Standard & Poor's (S&P), A.M. Best Company (A.M. Best) and Fitch Ratings and Dominion Bond Rating Service (DBRS).
Nuclear Energy Liability	coverage for bodily injury and property damage liability resulting from the nuclear energy material (whether or not radioactive) on the insured business's premises or in transit.
Occurrence	an accident , including injurious exposure to conditions, which results, during the policy period in bodily injury or property damage neither expected or intended from the standpoint of the insured. (Bickelhaupt and Magee)
Ocean Marine	coverage for ocean and inland water transportation exposures; goods or cargoes; ships or hulls; earnings; and liability.
Officer	a president, vice-president, treasurer, actuary, secretary, controller and any other person who performs for the company functions corresponding to those performed by the foregoing officers.
Option	an agreement giving the buyer the right to buy or receive, sell or deliver, enter into, extend or terminate, or effect a cash settlement based on the actual or expected price, level, performance or value of one or more Underlying Interests.
Other Accident and Health	accident and health coverages not otherwise properly classified as Group Accident and Health or Credit Accident and Health (e.g., collectively renewable and individual non-cancelable, guaranteed renewable, non-renewable for stated reasons only, etc.). Include all Medicare Part D Prescription Drug Coverage, whether sold on a stand-alone basis or through a Medicare Advantage product and whether sold directly to an individual or through a group.
Other Considerations	Unallocated annuity considerations and other unallocated deposits that incorporate any mortality or morbidity risk and are not reported as direct premiums, direct annuity considerations or deposit-type contract funds.
Other Liability	coverage protecting the insured against legal liability resulting from negligence, carelessness, or a failure to act resulting in property damage or personal injury to others.
Other Underwriting Expenses	allocable expenses other than loss adjustment expenses and investment expenses.
Owner Occupied	homeowners insurance sold to owners occupying the described property.
Package Policy	two or more distinct policies combined into a single contract.
Par Value	the nominal or face value of a stock or bond.
Peril	the cause of property damage or personal injury, origin of desire for insurance. "Cause of Loss"
Permanent Life Insurance	policy that remains active for the life of the insured.
Personal Auto Policy	coverage designed to insure private passenger automobiles and certain types of trucks owned by an individual or husband and wife.
Personal Earthquake	earthquake property coverage for personal, family or household purposes.
Personal Flood	separate flood insurance policy sold for personal, family or household purposes.
Personal GAP Insurance	credit insurance that insures the excess of the outstanding indebtedness over the primary property insurance benefits in the event of a total loss to a collateral asset.
Personal Injury Liability	liability coverage for those who have been discriminated against, falsely arrested, illegally detained, libeled, maliciously prosecuted, slandered, suffered from identity theft, mental anguish or alienation of affections, or have had their right of privacy violated.
Personal Injury Protection Coverage/PIP	automobile coverage available in states that have enacted no-fault laws or other auto reparation reform laws for treatment of injuries to the insured and passengers of the insured.
Personal Property	single interest or dual interest credit insurance (where collateral is not a motor vehicle, mobile home, or real estate) that covers perils to goods purchased or used as collateral and that concerns a creditor's interest in the purchased goods or pledged collateral either in whole or in part; or covers perils to goods purchased in connection with an open-end credit transaction.
Pet Insurance Plans	veterinary care plan insurance policy providing care for a pet animal (e.g., dog or cat) of the insured owner in the event of its illness or accident.
Policy	a written contract ratifying the legality of an insurance agreement.
Policy Dividend	a refund of part of the premium on a participating life insurance policy. Amount of payment is determined by subtracting the actual premium expense from the premium charged. The payment can be taken as cash, applied to a purchase an increment of paid-up insurance, left on deposit with the insurance company or applied to purchase term insurance for one year.
Policy Period	time period during which insurance coverage is in effect.
Policy Reserve	the amount of money allocated specifically for the fulfillment of policy obligations by a life insurance company; reserves are in place to safeguard that the company is able to pay all future claims.
Policyholders Surplus	assets in excess of the liabilities of a company or net income above any monies indebted to legal obligation.
Pollution	environmental contamination.
Pool	an association organized for the purpose of absorbing losses through a risk-sharing mechanism thereby limiting individual exposures.
Preferred Provider Organization (PPO)	arrangement, insured or uninsured, where contracts are established by Health Plan Companies (typically, commercial insurers, and, in some circumstances, by self-insured employers) with health care providers. The Health Plans involved will often designate these contracted providers as "preferred" and will provide an incentive, usually in the form of lower deductibles or co-payments, to encourage covered individuals to use these providers. Members are allowed benefits for non-participating provider services on an indemnity basis with significant copayments and providers are often, but not always, paid on a discounted fee for service basis.
Preferred Risk	insured, or applicant for insurance, who presents likelihood of risk lower than that of the standard applicant.
Premises and Operations	policies covering the liability of an insured to persons who have incurred bodily injury or property damage on an insured's premises during normal operations or routine maintenance, or from an insured's business operations either on or off of the insured's premises.
Premium	Money charged for the insurance coverage reflecting expectation of loss.
Premiums Earned	the portion of premium for which the policy protection or coverage has already been given during the now-expired portion of the policy term.
Premiums Net	is the amount calculated on the basis of the interest and mortality table used to calculate the reporting entity's statutory policy reserves.
Premiums Written	total premiums generated from all policies (contracts) written by an insurer within a given period of time.
Primary Insurance	coverage that takes precedence when more than one policy covers the same loss.
Prior Approval Law	a state regulatory requirement for pre-approval of all insurance rates and forms.
Private Passenger Auto (PPA)	filings that include singularly or in any combination coverage such as the following: Auto Liability, Personal Injury Protection (PIP), Medical Payments (MP), Uninsured/Underinsured (UM/UIM); Specified Causes of Loss, Comprehensive, and Collision.
Producer	an individual who sells, services, or negotiates insurance policies either on behalf of a company or independently.
Product Liability	insurance coverage protecting the manufacturer, distributor, seller, or lessor of a product against legal liability resulting from a defective condition causing personal injury, or damage, to any individual or entity, associated with the use of the product.
Professional Errors and Omissions Liability	coverage available to pay for liability arising out of the performance of professional or business related duties, with coverage being tailored to the needs of the specific profession. Examples include abstracters, accountants, insurance adjusters, architects, engineers, insurance agents and brokers, lawyers, real estate agents, stockbrokers.
Property	coverage protecting the insured against loss or damage to real or personal property from a variety of perils, including but not limited to fire, lightening, business interruption, loss of rents, glass breakage, tornado, windstorm, hail, water damage, explosion, riot, civil commotion, rain, or damage from aircraft or vehicles.
Pro-rata (proportional) Reinsurance	portion of the losses and premium reinsurer shares with the ceding entity.
Protected Cell	an insurance-linked security retained within the insurance or reinsurance company and is used to insulate the proceeds of the securities offering from the general business risks of the insurer, granting an additional comfort level for investors of the securitized instrument.
Protection and Indemnity (P&I) Insurance	a broad form of marine legal liability insurance coverage.
Provider Sponsored Network (PSN)	formal affiliations of providers, sometimes called "integrated delivery systems", organized and operated to provide an integrated network of health care providers with which third parties, such as insurance companies, HMOs, or other Health Plan Companies, may contract for health care services to covered individuals. Some models of integration include Physician Hospital Organizations, Management Service Organizations, Group Practices Without Walls, Medical Foundations, and Health Provider Cooperatives.
Provisions	contingencies outlined in an insurance policy.
Proximate Cause	event covered under insured's policy agreement.
Public Adjuster	independent claims adjuster representing policyholders instead of insurance companies.
Pure Premium	that portion of the premium equal to expected losses void of insurance company expenses, premium taxes, contingencies, or profit margin.
Pure Risk	circumstance including possibility of loss or no loss but no possibility of gain.
Qualified Actuary	a person who meets the basic education, experience and continuing education requirements (these differ by line of business) of the Specific Qualification Standard for Statements of Actuarial Opinion, NAIC Property and Casualty Annual Statement, as set forth in the Qualification Standards for Actuaries Issuing Statements of Actuarial Opinion in the United States, promulgated by the American Academy of Actuaries, and is in good standing of the American Academy of Actuaries who has been approved as qualified for signing casualty loss reserve opinions by the Casualty Practice Council of the American Academy of Actuaries.
Rate	value of insured losses expressed as a cost per unit of insurance.
Risk Based Capital (RBC) Ratio	ratio used to identify insurance companies that are poorly capitalized. Calculated by dividing the company's capital by the minimum amount of capital regulatory authorities have deemed necessary to support the insurance operations.
Rebate	a refund of part or all of a premium payment.
Reinsurance	a transaction between a primary insurer and another licensed (re) insurer where the reinsurer agrees to cover all or part of the losses and/or loss adjustment expenses of the primary insurer. The assumption is in exchange for a premium. Indemnification is on a proportional or non-proportional basis.
Reinsurer	company assuming reinsurance risk.
Renewable Term Insurance	insurance that is renewable for a limited number of successive terms by the policyholder and is not contingent upon medical examination.
Renters Insurance	liability coverage for contents within a renter's residence. Coverage does not include the structure but does include any affixed items provided or changed by the renter.
Replacement Cost	the cost of replacing property without a reduction for depreciation due to normal wear and tear.
Reported Losses	Includes both expected payments for losses relating to insured events that have occurred and have been reported to the insurance company, but not yet paid.
Reserve	A portion of the premium retained to pay future claims
Reserve Credit	reduction of reserve amounts for reinsurance ceded. Reductions may include the claim reserve and/or the unearned premium reserve.
